year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2016,ARM,ALL,200970,551794,0.017%
2016,ARM,ALL,200980,489486,0.015%
2016,ARM,ALL,200990,241263,0.0076%
2016,ARM,ALL,210110,4178595,0.13%
2016,ARM,ALL,210120,262836,0.0082%
2016,ARM,ALL,210130,17726,0.00056%
2016,ARM,ALL,210210,1939842,0.061%
2016,ARM,ALL,210220,41961,0.0013%
2016,ARM,ALL,210230,31988,0.0010%
2016,ARM,ALL,210310,65328,0.0020%
2016,ARM,ALL,210320,1147582,0.036%
2016,ARM,ALL,210330,51652,0.0016%
2016,ARM,ALL,210390,2792837,0.088%
2016,ARM,ALL,210410,488948,0.015%
2016,ARM,ALL,210420,144639,0.0045%
2016,ARM,ALL,210500,729982,0.023%
2016,ARM,ALL,210610,308167,0.0097%
2016,ARM,ALL,210690,9558830,0.30%
2016,ARM,ALL,220110,195569,0.0061%
2016,ARM,ALL,220190,8534,0.00027%
2016,ARM,ALL,220210,5444722,0.17%
2016,ARM,ALL,220290,3650081,0.11%
2016,ARM,ALL,220300,2232200,0.070%
2016,ARM,ALL,220410,370287,0.012%
2016,ARM,ALL,220421,558476,0.018%
2016,ARM,ALL,220429,7102,0.00022%
2016,ARM,ALL,220510,157196,0.0049%
2016,ARM,ALL,220600,9467,0.00030%
2016,ARM,ALL,220710,354084,0.011%
2016,ARM,ALL,220820,21863853,0.69%
2016,ARM,ALL,220830,1670877,0.052%
2016,ARM,ALL,220840,194703,0.0061%
2016,ARM,ALL,220850,88519,0.0028%
2016,ARM,ALL,220890,15644100,0.49%
2016,ARM,ALL,220900,45862,0.0014%
2016,ARM,ALL,230110,1084356,0.034%
2016,ARM,ALL,230120,969472,0.030%
2016,ARM,ALL,230210,2163,0.000068%
2016,ARM,ALL,230230,592191,0.019%
2016,ARM,ALL,230240,13217,0.00041%
2016,ARM,ALL,230310,103023,0.0032%
2016,ARM,ALL,230320,1377,0.000043%
2016,ARM,ALL,230330,4632,0.00015%
2016,ARM,ALL,230400,7921442,0.25%
2016,ARM,ALL,230630,1440690,0.045%
2016,ARM,ALL,230690,2820,0.000088%
2016,ARM,ALL,230890,15549,0.00049%
2016,ARM,ALL,230910,990487,0.031%
2016,ARM,ALL,230990,13360929,0.42%
2016,ARM,ALL,240110,4055,0.00013%
2016,ARM,ALL,240120,55566788,1.7%
2016,ARM,ALL,240130,415798,0.013%
2016,ARM,ALL,240210,342773,0.011%
2016,ARM,ALL,240220,37698475,1.2%
2016,ARM,ALL,240310,570030,0.018%
2016,ARM,ALL,240391,9041,0.00028%
2016,ARM,ALL,240399,788,0.000025%
2016,ARM,ALL,250100,779852,0.024%
2016,ARM,ALL,250310,983,0.000031%
2016,ARM,ALL,250510,1014177,0.032%
2016,ARM,ALL,250590,25860,0.00081%
2016,ARM,ALL,250610,782528,0.025%
2016,ARM,ALL,250629,8362,0.00026%
2016,ARM,ALL,250700,10382,0.00033%
2016,ARM,ALL,250810,23599,0.00074%
2016,ARM,ALL,250830,1384,0.000043%
2016,ARM,ALL,250840,6097,0.00019%
2016,ARM,ALL,250870,897,0.000028%
