year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2002,ARM,ALB,ALL,1457.91,0.0000031%
2002,ARM,AND,ALL,11400.09,0.000024%
2002,ARM,AUT,ALL,4965614.32,0.011%
2002,ARM,BGR,ALL,37189049.48,0.079%
2002,ARM,BLR,ALL,3135158.55,0.0066%
2002,ARM,BLX,ALL,104563134.16,0.22%
2002,ARM,CHE,ALL,11524605.31,0.024%
2002,ARM,CZE,ALL,3767686.84,0.0080%
2002,ARM,DEU,ALL,42445866.4,0.090%
2002,ARM,DNK,ALL,1654059.68,0.0035%
2002,ARM,ESP,ALL,3670814.7,0.0078%
2002,ARM,EST,ALL,252336.59,0.00053%
2002,ARM,FIN,ALL,2859123.7,0.0061%
2002,ARM,FRA,ALL,17915306.43,0.038%
2002,ARM,GBR,ALL,28798728.23,0.061%
2002,ARM,GIB,ALL,226216,0.00048%
2002,ARM,GRC,ALL,15738307.55,0.033%
2002,ARM,HRV,ALL,195556.37,0.00041%
2002,ARM,HUN,ALL,2098987.49,0.0044%
2002,ARM,IRL,ALL,416124.53,0.00088%
2002,ARM,ISL,ALL,14977,0.000032%
2002,ARM,ITA,ALL,41067184.22,0.087%
2002,ARM,LTU,ALL,4546987.71,0.0096%
2002,ARM,LVA,ALL,595337.56,0.0013%
2002,ARM,MDA,ALL,958849.97,0.0020%
2002,ARM,MKD,ALL,235771.43,0.00050%
2002,ARM,MLT,ALL,28974,0.000061%
2002,ARM,NLD,ALL,10946964.88,0.023%
2002,ARM,NOR,ALL,504044.66,0.0011%
2002,ARM,POL,ALL,2842970.47,0.0060%
2002,ARM,PRT,ALL,790864.29,0.0017%
2002,ARM,ROU,ALL,6698208.24,0.014%
2002,ARM,RUS,ALL,177983327.93,0.38%
2002,ARM,SVK,ALL,3523604.44,0.0075%
2002,ARM,SVN,ALL,895563.77,0.0019%
2002,ARM,SWE,ALL,1370022.3,0.0029%
2002,ARM,UKR,ALL,41256972.27,0.087%
2002,ARM,YUG,ALL,344516.07,0.00073%
2002,ARM,CAN,ALL,3113294.92,0.0066%
2002,ARM,CRI,ALL,1018328.54,0.0022%
2002,ARM,DMA,ALL,42981.36,0.000091%
2002,ARM,DOM,ALL,179286.01,0.00038%
2002,ARM,GTM,ALL,9102.67,0.000019%
2002,ARM,PAN,ALL,3113294.38,0.0066%
2002,ARM,USA,ALL,122816055.33,0.26%
2002,ARM,VGB,ALL,1421443.26,0.0030%
2002,ARM,AUS,ALL,1439824.03,0.0030%
2002,ARM,FJI,ALL,763005,0.0016%
2002,ARM,MHL,ALL,8987,0.000019%
2002,ARM,NZL,ALL,54655.83,0.00012%
2002,ARM,WSM,ALL,2223,0.0000047%
2002,ARM,ARG,ALL,894341.61,0.0019%
2002,ARM,BRA,ALL,14056482.33,0.030%
2002,ARM,CHL,ALL,9962.18,0.000021%
2002,ARM,COL,ALL,27381.39,0.000058%
2002,ARM,ECU,ALL,654839.5,0.0014%
2002,ARM,URY,ALL,37760.52,0.000080%
2002,ARM,VEN,ALL,16229.04,0.000034%
2002,ARM,XXA,ALL,557950.08,0.0012%
2003,ARM,DZA,ALL,3696936,0.0078%
2003,ARM,EGY,ALL,163631.57,0.00035%
2003,ARM,ERI,ALL,15217,0.000032%
2003,ARM,GHA,ALL,166830.07,0.00035%
2003,ARM,KEN,ALL,100207,0.00021%
2003,ARM,LBR,ALL,587435.44,0.0012%
2003,ARM,MAR,ALL,48455.34,0.00010%
2003,ARM,SYC,ALL,98246,0.00021%
2003,ARM,ZAF,ALL,1066541.32,0.0023%
2003,ARM,ARE,ALL,56191122.34,0.12%
2003,ARM,CHN,ALL,10111502.61,0.021%
2003,ARM,CYP,ALL,14406622.76,0.030%
2003,ARM,GEO,ALL,26968326.14,0.057%
2003,ARM,HKG,ALL,2897519.37,0.0061%
2003,ARM,IDN,ALL,438000.85,0.00093%
2003,ARM,IND,ALL,6071632.55,0.013%
2003,ARM,IRN,ALL,72052690.46,0.15%
2003,ARM,IRQ,ALL,54550,0.00012%
2003,ARM,ISR,ALL,123827110.54,0.26%
2003,ARM,JOR,ALL,8663,0.000018%
2003,ARM,JPN,ALL,11267815.11,0.024%
2003,ARM,KAZ,ALL,6111374.3,0.013%
2003,ARM,KGZ,ALL,8072,0.000017%
2003,ARM,KOR,ALL,3657137.93,0.0077%
