year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2007,ARM,AUT,ALL,14758524.76,0.098%
2007,ARM,BGR,ALL,44273911.89,0.29%
2007,ARM,BIH,ALL,4336.38,0.000029%
2007,ARM,BLR,ALL,3372633.49,0.022%
2007,ARM,BLX,ALL,104968613.65,0.69%
2007,ARM,CHE,ALL,42445372.57,0.28%
2007,ARM,CZE,ALL,4174779.54,0.028%
2007,ARM,DEU,ALL,180934869.48,1.2%
2007,ARM,DNK,ALL,117388.23,0.00078%
2007,ARM,ESP,ALL,25835457.46,0.17%
2007,ARM,EST,ALL,487506.91,0.0032%
2007,ARM,FIN,ALL,8824806,0.058%
2007,ARM,FRA,ALL,10678413.14,0.071%
2007,ARM,GBR,ALL,3017859.53,0.020%
2007,ARM,GRC,ALL,2849774.07,0.019%
2007,ARM,HRV,ALL,320225.5,0.0021%
2007,ARM,HUN,ALL,778787.33,0.0052%
2007,ARM,IRL,ALL,69931.73,0.00046%
2007,ARM,ITA,ALL,28788747.39,0.19%
2007,ARM,LTU,ALL,211640.89,0.0014%
2007,ARM,LVA,ALL,1258518.35,0.0083%
2007,ARM,MDA,ALL,2459239.73,0.016%
2007,ARM,NLD,ALL,155561719.54,1.0%
2007,ARM,NOR,ALL,3748,0.000025%
2007,ARM,POL,ALL,9245060.95,0.061%
2007,ARM,ROU,ALL,743747.93,0.0049%
2007,ARM,RUS,ALL,200931635.69,1.3%
2007,ARM,SRB,ALL,250969.41,0.0017%
2007,ARM,SVK,ALL,733121.71,0.0048%
2007,ARM,SVN,ALL,728273.01,0.0048%
2007,ARM,SWE,ALL,254096.75,0.0017%
2007,ARM,UKR,ALL,46769422.06,0.31%
2007,ARM,BLZ,ALL,2078254,0.014%
2007,ARM,BRB,ALL,1472,0.0000097%
2007,ARM,CAN,ALL,6785209.08,0.045%
2007,ARM,CRI,ALL,70707.64,0.00047%
2007,ARM,DMA,ALL,7800,0.000052%
2007,ARM,HND,ALL,2795933.77,0.018%
2007,ARM,MEX,ALL,84411.5,0.00056%
2007,ARM,NIC,ALL,4648,0.000031%
2007,ARM,PAN,ALL,50395,0.00033%
2007,ARM,USA,ALL,51553976.08,0.34%
2007,ARM,VCT,ALL,10143.93,0.000067%
2007,ARM,VGB,ALL,24494170,0.16%
2007,ARM,AUS,ALL,1364971.56,0.0090%
2007,ARM,FJI,ALL,88726.28,0.00059%
2007,ARM,NZL,ALL,132206.87,0.00087%
2007,ARM,WSM,ALL,4488.54,0.000030%
