year,country_destination_id,import_val
2003,MKD,173365.55
2003,MLT,118630.62
2003,NLD,11797064.14
2003,NOR,15838.92
2003,POL,3634075.2
2003,PRT,883431.14
2003,ROU,413994.31
2003,RUS,204043858.5
2003,SVK,3689715.06
2003,SVN,958270.05
2003,SWE,3505119.43
2003,UKR,49369632.01
2003,YUG,199449
2003,BHS,8234.78
2003,BLZ,7745
2003,CAN,3823698.46
2003,CRI,5597.21
2003,CUB,1212628.81
2003,DMA,58397.39
2003,DOM,3150038.09
2003,MEX,81563
2003,PAN,12042258.79
2003,USA,152218980
2003,VGB,6156393.98
2003,AUS,2411919.56
2003,FJI,356618
2003,NZL,86623
2003,PYF,5119
2003,ARG,436632.25
2003,BRA,5968042.96
2003,PER,35239.88
2003,URY,87442.63
2003,VEN,27290.95
2003,XXA,3529050.2
2004,DZA,7600
2004,EGY,313763.23
2004,GHA,207188.4
2004,GIN,137895
2004,KEN,14230
2004,LBR,522182.38
2004,MAR,55403
2004,SEN,2069
2004,SOM,2786
2004,SYC,43815
2004,TUN,17070
2004,ZAF,1686355.74
2004,ZWE,123397
2004,ARE,57942013.77
2004,BGD,6890
2004,BHR,7306
2004,CHN,18815593.39
2004,CYP,18170361.64
2004,GEO,47031283.74
2004,HKG,1661191.6
2004,IDN,743720.73
2004,IND,9084983.52
2004,IRN,97510934.55
2004,IRQ,63653
2004,ISR,100518951.5
2004,JOR,3980.05
2004,JPN,1856922.86
2004,KAZ,13600608.46
2004,KGZ,4736.09
2004,KOR,3242896.46
2004,KWT,23999
2004,LBN,9211659.83
2004,LKA,342599.43
2004,MYS,1501121.16
2004,PAK,815986
2004,PHL,11669.4
2004,SAU,82920
2004,SGP,1057538.54
2004,SYR,943340.23
2004,THA,640977.01
2004,TKM,99072.72
2004,TUR,36937342.17
2004,UZB,1278806.47
2004,VNM,911042.67
2004,XXB,1679004.49
2004,YEM,16786
2004,AND,17738.69
2004,AUT,8657931.69
2004,BGR,13499821.53
2004,BIH,195999
2004,BLR,9244449.5
2004,BLX,155034461.5
2004,CHE,44676221.13
2004,CZE,5917579.06
2004,DEU,65003152.35
2004,DNK,2161658.51
2004,ESP,6514611.45
2004,EST,628733.48
2004,FIN,4168326.25
2004,FRA,21512555.43
2004,GBR,95646499.6
2004,GIB,152461.71
2004,GRC,33598635.44
2004,HRV,245214.7
2004,HUN,4695435.08
2004,IRL,1170842.51
2004,ISL,373571.13
2004,ITA,51318118.04
2004,LTU,1068692.85
2004,LVA,2000502.9
2004,MDA,2700214.35
2004,MKD,342030.09
2004,MLT,142057.22
2004,NLD,11355578.48
2004,NOR,259347.58
2004,POL,5914547.51
2004,PRT,1189855.6
